item_code,item_name,unit,final_year,final_month,total_qty
A001UFF005,(K)  Jagoan Neon Renceng 20x30 Lokal,PK,2023,7,120.0
A001UFF005,(K)  Jagoan Neon Renceng 20x30 Lokal,PK,2023,8,80.0
A001UFF007,(K)  Kiko Hijau  15x10x70ML,PK,2023,7,1365.0
A001UFF007,(K)  Kiko Hijau  15x10x70ML,PK,2023,8,795.0
A001UFF008,(K) Kiko Merah 20x10X50ML,PK,2023,7,30520.0
A001UFF008,(K) Kiko Merah 20x10X50ML,PK,2023,8,30260.0
A001UFF008,(K) Kiko Merah 20x10X50ML,PK,2023,9,1060.0
A001UFF008,(K) Kiko Merah 20x10X50ML,PK,2023,10,11.0
A001UFF012,(K)  Milkita Candy Mix Renceng 20x30,PAK,2023,7,5820.0
A001UFF012,(K)  Milkita Candy Mix Renceng 20x30,PAK,2023,8,1760.0
A001UFF017,(K)  PINO MODERN Assorted 12x6,PK,2023,7,12.0
A001UFF017,(K)  PINO MODERN Assorted 12x6,PK,2023,8,36.0
A001UFF018,(K)  Split Candy Renceng 20x30,PK,2023,7,40.0
A001UFF018,(K)  Split Candy Renceng 20x30,PK,2023,8,140.0
A001UFF020,(K)  Zuper Mix Bag 12x50 Lokal,PK,2023,7,228.0
A001UFF020,(K)  Zuper Mix Bag 12x50 Lokal,PK,2023,8,48.0
A001UFF021,(K)  Zuper Mix Renceng 20x30 Lokal,PK,2023,7,1920.0
A001UFF021,(K)  Zuper Mix Renceng 20x30 Lokal,PK,2023,8,620.0
A001UFF023,(K)  COLA RENCENG 20x30,PK,2023,8,40.0
A001UFF028,(K)  ASSORTED BAG PREMIUM 20x30,PAK,2023,7,24.0
A001UFF029,(K)  CHOCOLATE PREMIUM BAG 20x30,PAK,2023,7,54.0
A001UFF029,(K)  CHOCOLATE PREMIUM BAG 20x30,PAK,2023,8,10.0
A001UFF030,(K)  MELON BAG PREMIUM 20x30,PAK,2023,7,34.0
A001UFF031,(K)  MILK BAG PREMIUM 20x30,PAK,2023,7,24.0
A001UFF031,(K)  MILK BAG PREMIUM 20x30,PAK,2023,8,20.0
A001UFF032,(K)  STRAWBERRY BAG PREMIUM 20x30,PAK,2023,7,24.0
A001UFF032,(K)  STRAWBERRY BAG PREMIUM 20x30,PAK,2023,8,10.0
A001UFF068,(K)  Milkita Assrtd JAR 6x175,TPLS,2023,7,12.0
A001UFF070,(K)  20*40 ASSORTED BAG MILKITA,PK,2023,7,720.0
A001UFF070,(K)  20*40 ASSORTED BAG MILKITA,PK,2025,9,24.0
A001UFF070,(K)  20*40 ASSORTED BAG MILKITA,PK,2025,10,15.0
A001UFF070,(K)  20*40 ASSORTED BAG MILKITA,PK,2025,11,11.0
A001UFF070,(K)  20*40 ASSORTED BAG MILKITA,PK,2025,12,13.0
A001UFF073,(K)  20pc LEMONILO GORENG 80gr,PCS,2023,7,480.0
A001UFF073,(K)  20pc LEMONILO GORENG 80gr,PCS,2023,8,80.0
A001UFF074,(K)  20pc LEMONILO KARI 73gr,PCS,2023,7,120.0
A001UFF074,(K)  20pc LEMONILO KARI 73gr,PCS,2023,8,20.0
A001UFF075,(K)  20pc LEMONILO BAWANG 70gr,PCS,2023,7,60.0
A001UFF085,(K)  NEON LOLY 6*36 NEW,PK,2023,7,8018.0
A001UFF085,(K)  NEON LOLY 6*36 NEW,PK,2023,8,1378.0
A001UFF087,(K)  SPLIT MANGGA LOLY 6*36 NEW,PK,2023,7,887.0
A001UFF087,(K)  SPLIT MANGGA LOLY 6*36 NEW,PK,2023,8,943.0
A001UFF092,(K)  SPLIT LEMON LOLY 6*36 NEW,PK,2023,7,2951.0
A001UFF092,(K)  SPLIT LEMON LOLY 6*36 NEW,PK,2023,8,2269.0
A001UFF094,(K)  COLA LOLY 6*36 NEW,PK,2023,7,896.0
A001UFF094,(K)  COLA LOLY 6*36 NEW,PK,2023,8,811.0
A001UFF095,(K)  DEFANTY LOLY 6*36 NEW,PK,2023,7,642.0
A001UFF095,(K)  DEFANTY LOLY 6*36 NEW,PK,2023,8,621.0
A001UFF096,(K)  COLA ASTD LOLY 6*36 NEW,PK,2023,7,174.0
A001UFF096,(K)  COLA ASTD LOLY 6*36 NEW,PK,2023,8,162.0
A001UFF098,(K)  CHIMI KERIPIK J.BAKAR 24pc*50gr,PCS,2023,7,384.0
A001UFF098,(K)  CHIMI KERIPIK J.BAKAR 24pc*50gr,PCS,2023,8,96.0
A001UFF099,(K)  CHIMI KERIPIK J.BALADO 24pc*50gr,PCS,2023,7,264.0
A001UFF099,(K)  CHIMI KERIPIK J.BALADO 24pc*50gr,PCS,2023,8,96.0
A001UFF109,(K)  20pc LEMONILO PdsKOREA 85gr,PCS,2023,7,80.0
A001UFF109,(K)  20pc LEMONILO PdsKOREA 85gr,PCS,2023,8,60.0
A001UFF119,(K)  PINO ICE CUP Assorted 18*4,PC,2023,7,52344.0
A001UFF119,(K)  PINO ICE CUP Assorted 18*4,PC,2023,8,3960.0
A001UFF120,(K)  PMG PINO 18x4,PC,2023,7,360.0
A001UFF120,(K)  PMG PINO 18x4,PC,2023,8,4608.0
A001UFF125,(K)  MAX LOLY MILKITA 6*30,PK,2023,7,3736.0
A001UFF125,(K)  MAX LOLY MILKITA 6*30,PK,2023,8,1172.0
A001UFF128,(K)  MAX PASTA VANILA 6*30pcs,PC,2023,7,96.0
A001UFF129,(K)  MAX PASTA COKLAT 6*30pcs,PC,2023,7,114.0
A001UFF130,(K)  MILKITA REFIL 1000 8*40pcs,PK,2023,7,752.0
A001UFF130,(K)  MILKITA REFIL 1000 8*40pcs,PK,2023,8,656.0
A001UFF131,(K) RTG CHIMI J. BAKAR 6*10pcs 12.5gr,PK,2023,7,63.0
A001UFF131,(K) RTG CHIMI J. BAKAR 6*10pcs 12.5gr,PK,2023,8,12.0
A001UFF132,(K)  RTG CHIMI J.BALADO 6*10pcs 12.5g,PC,2023,7,543.0
A001UFF132,(K)  RTG CHIMI J.BALADO 6*10pcs 12.5g,PC,2023,8,120.0
A001UFF136,(K) MAX OMG LOLY 6*30pcs,PAK,2023,7,198.0
A001UFF136,(K) MAX OMG LOLY 6*30pcs,PAK,2023,8,168.0
A001UFF137,(K) MAX MILKITA 1000 JAR 6*50pcs,TPLS,2023,7,276.0
A001UFF137,(K) MAX MILKITA 1000 JAR 6*50pcs,TPLS,2023,8,36.0
A002PSN001,# COKLAT DOLAR 6x200,TPLS,2023,10,3.0
A002PSN001,# COKLAT DOLAR 6x200,TPLS,2023,11,21.0
A002PSN001,# COKLAT DOLAR 6x200,TPLS,2023,12,6.0
A002PSN001,# COKLAT DOLAR 6x200,TPLS,2024,1,9.0
A002PSN001,# COKLAT DOLAR 6x200,TPLS,2024,2,18.0
A002PSN001,# COKLAT DOLAR 6x200,TPLS,2024,3,18.0
A002PSN001,# COKLAT DOLAR 6x200,TPLS,2024,4,36.0
A002PSN001,# COKLAT DOLAR 6x200,TPLS,2024,6,6.0
A002PSN001,# COKLAT DOLAR 6x200,TPLS,2024,7,36.0
A002PSN001,# COKLAT DOLAR 6x200,TPLS,2024,10,12.0
A002PSN001,# COKLAT DOLAR 6x200,TPLS,2024,11,6.0
A002PSN001,# COKLAT DOLAR 6x200,TPLS,2025,1,6.0
A002PSN001,# COKLAT DOLAR 6x200,TPLS,2025,2,252.0
A002PSN001,# COKLAT DOLAR 6x200,TPLS,2025,3,69.0
A002PSN001,# COKLAT DOLAR 6x200,TPLS,2025,5,12.0
A002PSN001,# COKLAT DOLAR 6x200,TPLS,2025,6,12.0
A002PSN001,# COKLAT DOLAR 6x200,TPLS,2025,7,31.0
A002PSN001,# COKLAT DOLAR 6x200,TPLS,2025,8,72.0
A002PSN001,# COKLAT DOLAR 6x200,TPLS,2025,9,204.0
A002PSN001,# COKLAT DOLAR 6x200,TPLS,2025,10,30.0
A002PSN001,# COKLAT DOLAR 6x200,TPLS,2025,11,66.0
A002PSN001,# COKLAT DOLAR 6x200,TPLS,2025,12,6.0
A002PSN001,(K)  COKLAT DOLAR 6x200,TPLS,2023,9,30.0
A002PSN001,(K)  COKLAT DOLAR 6x200,TPLS,2023,10,12.0
A002PSN001,(K)  COKLAT DOLAR 6x200,TPLS,2023,11,6.0
A002PSN001,(K)  COKLAT DOLAR 6x200,TPLS,2023,12,66.0
A002PSN001,(K)  COKLAT DOLAR 6x200,TPLS,2024,1,78.0
A002PSN001,(K)  COKLAT DOLAR 6x200,TPLS,2024,2,252.0
A002PSN001,(K)  COKLAT DOLAR 6x200,TPLS,2024,3,51.0
A002PSN001,(K)  COKLAT DOLAR 6x200,TPLS,2024,4,258.0
A002PSN001,(K)  COKLAT DOLAR 6x200,TPLS,2024,5,2.0
A002PSN001,(K)  COKLAT DOLAR 6x200,TPLS,2024,6,60.0
A002PSN001,(K)  COKLAT DOLAR 6x200,TPLS,2024,7,60.0
A002PSN001,(K)  COKLAT DOLAR 6x200,TPLS,2024,8,66.0
A002PSN001,(K)  COKLAT DOLAR 6x200,TPLS,2024,9,39.0
A002PSN001,(K)  COKLAT DOLAR 6x200,TPLS,2024,10,42.0
A002PSN001,(K)  COKLAT DOLAR 6x200,TPLS,2024,11,258.0
A002PSN001,(K)  COKLAT DOLAR 6x200,TPLS,2024,12,348.0
A002PSN001,(K)  COKLAT DOLAR 6x200,TPLS,2025,1,78.0
A002PSN001,(K)  COKLAT DOLAR 6x200,TPLS,2025,2,120.0
A002PSN001,(K)  COKLAT DOLAR 6x200,TPLS,2025,3,158.0
A002PSN001,(K)  COKLAT DOLAR 6x200,TPLS,2025,4,150.0
A002PSN001,(K)  COKLAT DOLAR 6x200,TPLS,2025,5,138.0
A002PSN001,(K)  COKLAT DOLAR 6x200,TPLS,2025,6,126.0
A002PSN001,(K)  COKLAT DOLAR 6x200,TPLS,2025,7,1422.0
A002PSN001,(K)  COKLAT DOLAR 6x200,TPLS,2025,8,1296.0
A002PSN001,(K)  COKLAT DOLAR 6x200,TPLS,2025,9,1014.0
A002PSN001,(K)  COKLAT DOLAR 6x200,TPLS,2025,10,102.0
A002PSN001,(K)  COKLAT DOLAR 6x200,TPLS,2025,11,168.0
A002PSN001,(K)  COKLAT DOLAR 6x200,TPLS,2025,12,782.0
A002PSN004,# EAGLE 6x125,TPLS,2023,10,3.0
A002PSN004,# EAGLE 6x125,TPLS,2023,11,333.0
A002PSN004,# EAGLE 6x125,TPLS,2023,12,369.0
A002PSN004,# EAGLE 6x125,TPLS,2024,1,351.0
A002PSN004,# EAGLE 6x125,TPLS,2024,2,423.0
A002PSN004,# EAGLE 6x125,TPLS,2024,3,513.0
A002PSN004,# EAGLE 6x125,TPLS,2024,4,186.0
A002PSN004,# EAGLE 6x125,TPLS,2024,5,27.0
A002PSN004,# EAGLE 6x125,TPLS,2024,6,24.0
A002PSN004,# EAGLE 6x125,TPLS,2024,7,57.0
A002PSN004,# EAGLE 6x125,TPLS,2024,8,60.0
A002PSN004,# EAGLE 6x125,TPLS,2024,9,30.0
A002PSN004,# EAGLE 6x125,TPLS,2024,10,24.0
A002PSN004,# EAGLE 6x125,TPLS,2024,11,24.0
A002PSN004,# EAGLE 6x125,TPLS,2024,12,36.0
A002PSN004,# EAGLE 6x125,TPLS,2025,1,60.0
A002PSN004,# EAGLE 6x125,TPLS,2025,2,78.0
A002PSN004,# EAGLE 6x125,TPLS,2025,3,75.0
A002PSN004,# EAGLE 6x125,TPLS,2025,5,12.0
A002PSN004,# EAGLE 6x125,TPLS,2025,6,15.0
A002PSN004,# EAGLE 6x125,TPLS,2025,7,24.0
A002PSN004,# EAGLE 6x125,TPLS,2025,8,102.0
A002PSN004,# EAGLE 6x125,TPLS,2025,9,72.0
A002PSN004,# EAGLE 6x125,TPLS,2025,10,18.0
A002PSN004,# EAGLE 6x125,TPLS,2025,11,12.0
A002PSN004,# EAGLE 6x125,TPLS,2025,12,6.0
A002PSN004,(K)  EAGLE 6x125,TPLS,2023,7,288.0
A002PSN004,(K)  EAGLE 6x125,TPLS,2023,8,225.0
A002PSN004,(K)  EAGLE 6x125,TPLS,2023,9,96.0
A002PSN004,(K)  EAGLE 6x125,TPLS,2023,10,42.0
A002PSN004,(K)  EAGLE 6x125,TPLS,2023,11,72.0
A002PSN004,(K)  EAGLE 6x125,TPLS,2023,12,90.0
A002PSN004,(K)  EAGLE 6x125,TPLS,2024,1,174.0
A002PSN004,(K)  EAGLE 6x125,TPLS,2024,2,486.0
A002PSN004,(K)  EAGLE 6x125,TPLS,2024,3,120.0
A002PSN004,(K)  EAGLE 6x125,TPLS,2024,4,552.0
A002PSN004,(K)  EAGLE 6x125,TPLS,2024,5,6.0
A002PSN004,(K)  EAGLE 6x125,TPLS,2024,6,420.0
A002PSN004,(K)  EAGLE 6x125,TPLS,2024,7,32.0
A002PSN004,(K)  EAGLE 6x125,TPLS,2024,8,55.0
A002PSN004,(K)  EAGLE 6x125,TPLS,2024,9,38.0
A002PSN004,(K)  EAGLE 6x125,TPLS,2024,10,53.0
A002PSN004,(K)  EAGLE 6x125,TPLS,2024,11,181.0
A002PSN004,(K)  EAGLE 6x125,TPLS,2024,12,556.0
A002PSN004,(K)  EAGLE 6x125,TPLS,2025,1,42.0
A002PSN004,(K)  EAGLE 6x125,TPLS,2025,2,512.0
A002PSN004,(K)  EAGLE 6x125,TPLS,2025,3,504.0
A002PSN004,(K)  EAGLE 6x125,TPLS,2025,4,6.0
A002PSN004,(K)  EAGLE 6x125,TPLS,2025,5,60.0
A002PSN004,(K)  EAGLE 6x125,TPLS,2025,6,36.0
A002PSN004,(K)  EAGLE 6x125,TPLS,2025,7,60.0
A002PSN004,(K)  EAGLE 6x125,TPLS,2025,8,36.0
A002PSN004,(K)  EAGLE 6x125,TPLS,2025,9,36.0
A002PSN004,(K)  EAGLE 6x125,TPLS,2025,10,48.0
A002PSN004,(K)  EAGLE 6x125,TPLS,2025,11,24.0
A002PSN004,(K)  EAGLE 6x125,TPLS,2025,12,186.0
A002PSN005,# GOLD CHOCO 12x50,TPLS,2023,11,114.0
A002PSN005,# GOLD CHOCO 12x50,TPLS,2023,12,120.0
A002PSN005,# GOLD CHOCO 12x50,TPLS,2024,1,168.0
A002PSN005,# GOLD CHOCO 12x50,TPLS,2024,2,288.0
A002PSN005,# GOLD CHOCO 12x50,TPLS,2024,3,84.0
A002PSN005,# GOLD CHOCO 12x50,TPLS,2024,4,60.0
A002PSN005,# GOLD CHOCO 12x50,TPLS,2024,5,240.0
A002PSN005,# GOLD CHOCO 12x50,TPLS,2024,6,66.0
A002PSN005,# GOLD CHOCO 12x50,TPLS,2024,7,108.0
A002PSN005,# GOLD CHOCO 12x50,TPLS,2024,8,12.0
A002PSN005,# GOLD CHOCO 12x50,TPLS,2024,9,12.0
A002PSN005,# GOLD CHOCO 12x50,TPLS,2024,12,24.0
A002PSN005,# GOLD CHOCO 12x50,TPLS,2025,1,24.0
A002PSN005,(K)  GOLD CHOCO 12x50,TPLS,2023,7,6.0
A002PSN005,(K)  GOLD CHOCO 12x50,TPLS,2023,9,84.0
A002PSN005,(K)  GOLD CHOCO 12x50,TPLS,2023,10,588.0
A002PSN005,(K)  GOLD CHOCO 12x50,TPLS,2023,11,264.0
A002PSN005,(K)  GOLD CHOCO 12x50,TPLS,2023,12,72.0
A002PSN005,(K)  GOLD CHOCO 12x50,TPLS,2024,1,84.0
A002PSN005,(K)  GOLD CHOCO 12x50,TPLS,2024,2,276.0
A002PSN005,(K)  GOLD CHOCO 12x50,TPLS,2024,3,18.0
A002PSN005,(K)  GOLD CHOCO 12x50,TPLS,2024,4,72.0
A002PSN005,(K)  GOLD CHOCO 12x50,TPLS,2024,5,54.0
A002PSN005,(K)  GOLD CHOCO 12x50,TPLS,2024,6,37.0
A002PSN005,(K)  GOLD CHOCO 12x50,TPLS,2024,10,12.0
A002PSN005,(K)  GOLD CHOCO 12x50,TPLS,2024,11,12.0
A002PSN005,(K)  GOLD CHOCO 12x50,TPLS,2024,12,24.0
A002PSN005,(K)  GOLD CHOCO 12x50,TPLS,2025,3,48.0
A002PSN015,# KIDDY BAND 12*40,PK,2023,11,18.0
A002PSN015,# KIDDY BAND 12*40,PK,2023,12,54.0
A002PSN015,# KIDDY BAND 12*40,PK,2024,1,48.0
A002PSN015,# KIDDY BAND 12*40,PK,2024,2,24.0
A002PSN015,# KIDDY BAND 12*40,PK,2024,4,6.0
A002PSN015,# KIDDY BAND 12*40,PK,2024,5,12.0
A002PSN015,# KIDDY BAND 12*40,PK,2024,6,12.0
A002PSN015,(K)  KIDDY BAND 12*40,PK,2023,9,78.0
A002PSN015,(K)  KIDDY BAND 12*40,PK,2023,10,18.0
A002PSN015,(K)  KIDDY BAND 12*40,PK,2023,11,12.0
A002PSN015,(K)  KIDDY BAND 12*40,PK,2024,1,12.0
A002PSN015,(K)  KIDDY BAND 12*40,PK,2024,3,6.0
A002PSN015,(K)  KIDDY BAND 12*40,PK,2024,6,48.0
A002PSN023,# HOP HOP 6*60,PK,2023,11,180.0
A002PSN023,# HOP HOP 6*60,PK,2023,12,396.0
A002PSN023,# HOP HOP 6*60,PK,2024,1,348.0
A002PSN023,# HOP HOP 6*60,PK,2024,2,285.0
A002PSN023,# HOP HOP 6*60,PK,2024,3,54.0
A002PSN023,# HOP HOP 6*60,PK,2024,4,186.0
A002PSN023,# HOP HOP 6*60,PK,2024,5,360.0
A002PSN023,# HOP HOP 6*60,PK,2024,6,90.0
A002PSN023,# HOP HOP 6*60,PK,2024,7,54.0
A002PSN023,# HOP HOP 6*60,PK,2024,9,276.0
A002PSN023,# HOP HOP 6*60,PK,2024,10,192.0
A002PSN023,# HOP HOP 6*60,PK,2024,11,282.0
A002PSN023,# HOP HOP 6*60,PK,2024,12,120.0
A002PSN023,# HOP HOP 6*60,PK,2025,1,192.0
A002PSN023,# HOP HOP 6*60,PK,2025,2,60.0
A002PSN023,# HOP HOP 6*60,PK,2025,3,48.0
A002PSN023,# HOP HOP 6*60,PK,2025,4,174.0
A002PSN023,# HOP HOP 6*60,PK,2025,5,240.0
A002PSN023,# HOP HOP 6*60,PK,2025,7,144.0
A002PSN023,# HOP HOP 6*60,PK,2025,8,234.0
A002PSN023,# HOP HOP 6*60,PK,2025,9,324.0
A002PSN023,# HOP HOP 6*60,PK,2025,10,240.0
A002PSN023,# HOP HOP 6*60,PK,2025,11,630.0
A002PSN023,# HOP HOP 6*60,PK,2025,12,60.0
A002PSN023,(K)  HOP HOP 6*60,PK,2023,10,750.0
A002PSN023,(K)  HOP HOP 6*60,PK,2023,11,462.0
A002PSN023,(K)  HOP HOP 6*60,PK,2023,12,690.0
A002PSN023,(K)  HOP HOP 6*60,PK,2024,1,324.0
A002PSN023,(K)  HOP HOP 6*60,PK,2024,2,786.0
A002PSN023,(K)  HOP HOP 6*60,PK,2024,3,60.0
A002PSN023,(K)  HOP HOP 6*60,PK,2024,4,354.0
A002PSN023,(K)  HOP HOP 6*60,PK,2024,5,450.0
A002PSN023,(K) HOP HOP 6*60,PK,2024,6,72.0
A002PSN023,(K) HOP HOP 6*60,PK,2024,7,12.0
A002PSN023,(K) HOP HOP 6*60,PK,2024,9,300.0
A002PSN023,(K) HOP HOP 6*60,PK,2024,10,36.0
A002PSN023,(K) HOP HOP 6*60,PK,2024,11,138.0
A002PSN023,(K) HOP HOP 6*60,PK,2024,12,282.0
A002PSN023,(K) HOP HOP 6*60,PK,2025,1,342.0
A002PSN023,(K) HOP HOP 6*60,PK,2025,2,228.0
A002PSN023,(K) HOP HOP 6*60,PK,2025,3,222.0
A002PSN023,(K) HOP HOP 6*60,PK,2025,4,330.0
A002PSN023,(K) HOP HOP 6*60,PK,2025,5,258.0
A002PSN023,(K) HOP HOP 6*60,PK,2025,7,822.0
A002PSN023,(K) HOP HOP 6*60,PK,2025,8,42.0
A002PSN023,(K) HOP HOP 6*60,PK,2025,9,300.0
A002PSN023,(K) HOP HOP 6*60,PK,2025,10,378.0
A002PSN023,(K) HOP HOP 6*60,PK,2025,11,30.0
A002PSN023,(K) HOP HOP 6*60,PK,2025,12,186.0
A002PSN027,(K)  KARIZATO Marshmellow 20*20,PAK,2024,1,380.0
A002PSN027,(K)  KARIZATO Marshmellow 20*20,PAK,2024,2,20.0
A002PSN059,# WOW TWISTER 6*40,TPLS,2023,10,3.0
A002PSN059,# WOW TWISTER 6*40,TPLS,2023,11,30.0
A002PSN059,# WOW TWISTER 6*40,TPLS,2023,12,6.0
A002PSN059,(K)  WOW TWISTER 6*40,TPLS,2023,9,57.0
A002PSN059,(K)  WOW TWISTER 6*40,TPLS,2023,10,36.0
A002PSN059,(K)  WOW TWISTER 6*40,TPLS,2023,11,9.0
A002PSN059,(K)  WOW TWISTER 6*40,TPLS,2024,1,6.0
A002PSN059,(K)  WOW TWISTER 6*40,TPLS,2024,2,3.0
A002PSN059,(K)  WOW TWISTER 6*40,TPLS,2024,4,3.0
A002PSN059,(K)  WOW TWISTER 6*40,TPLS,2024,5,3.0
A002PSN059,(K) WOW TWISTER 6*40,TPLS,2024,5,3.0
A002PSN059,(K) WOW TWISTER 6*40,TPLS,2024,7,9.0
A002PSN059,(K) WOW TWISTER 6*40,TPLS,2025,5,270.0
A002PSN060,# MIMI CHOCO IKAN 12*45,PAK,2023,11,78.0
A002PSN060,# MIMI CHOCO IKAN 12*45,PAK,2023,12,156.0
A002PSN060,# MIMI CHOCO IKAN 12*45,PAK,2024,1,180.0
A002PSN060,# MIMI CHOCO IKAN 12*45,PAK,2024,2,108.0
